"ID","Title","Parent"
"9794","Configuracion de Compose para local-stack","9547"
"9823","Acceso Read a Azure para desarrolladores","9547"
"9824","Configuracion/Creacion de perfil vpn interno para devs","9547"
"9861","Desarrollo logica de encolado","9851"
"9930","Integracion extracion de Invoice","9852"
"9931","Integracion extracion CPA","9852"
"9954","Code Review","9502"
"9955","Demo","9502"
"9956","Crear endpoints autenticacion","9502"
"9957","Crear tabla role","9502"
"9961","Code Review","9892"
"9962","Demo","9892"
"9963","Crear tabla catalogo de documentos","9892"
"9964","Code Review","9939"
"9965","Demo","9939"
"9966","Crear role distribuidor","9939"
"9967","Code Review","9940"
"9968","Demo","9940"
"9969","Crear Tabla role","9940"
"9980","Code Review","9947"
"9981","Demo","9947"
"9982","FE: Mostrar Area de documentos","9947"
"9994","BE: Cargar data y Guardar","9947"
"9997","Code Review","9856"
"9998","Demo","9856"
"9999","Diseño de filtros extras","9856"
"10000","BE: Endpoint Carga y Busqueda filtrada","9856"
"10013","Code Review","9817"
"10014","Demo","9817"
"10015","BE: Endoint cargas de clientes y asignacion","9817"
"10334","Validacion de documentos","9851"
"10452","Guardar logs y numero de transacción que devuelve PDV para registrar que se envio los datos.","9877"
"10453","Guardar logs y numero de transacción que deuvleve PDV para registrar que se envio los documentos.","10451"
"10459","Tabla de COAssets","9511"
"10508","Crear esquemas de dealers","9873"
"10509","Code Review","9884"
"10510","Demo","9884"
"10511","Remainig Development","9884"
"10512","Modificar editar vehiculo","9873"
"10513","Code Review","10305"
"10514","Demo","10305"
"10515","Remainig Development","10305"
"10516","Logica de asignacion automatica","9873"
"10520","Normalizar tabla de procedencia relacion con makers","9893"
"10521","Agregar popup seleccion de documentos","9819"
"10522","Logica de descargar","9819"
"10523","Implementar background service","10449"
"10524","Agregar diseno download","10449"
"10525","Crear tabla para guardar link de descarga","10449"
"10526","Crear logica visibilidad todo menor a 24hr","10449"
"10527","Agregar tab mas informacion","9838"
"10529","Proceso de crear CO - JOB","9511"
"10530","Crear tabla CO-VIN","9511"
"10531","Encolado","9511"
"10565","Certificar CO","10460"
"10566","Econlar Regeneracion de CO","9872"
"10575","Endpoint trae historial de documentos","9803"
"10576","Presentacion y Filtado en Frontend","9803"
"10584","FE: Crear componente para asignacion y refactorizacion de select de localidades","9817"
"10598","Code Review","9838"
"10599","Demo","9838"
"10600","Remainig Development","9838"
"10611","Demo","9873"
"10612","Code Review","9873"
"10630","Crear entidad y logica para cambios de auditoria de Dealer","10610"
"10631","Crear entidad y logica para cambios de auditoria de Finantial Institution","10610"
"10632","Crear entidad y logica para cambios de auditoria de Vehicle","10610"
"10633","Demo","10610"
"10634","Code Review","10610"
"10635","Crear estructuras de tablas. migraciones y entidades para guardar registros de importacion y resultados finales de procesamiento","10528"
"10636","Modificar logica del importer para sobreescribir informacion entrante y optimizar escritura de informacion","10528"
"10637","Regresion","10528"
"10638","Demo","10528"
"10639","Code Review","10528"
"10649","Crear nuevo endpoint para carga de excel y disparar el procesamient","10528"
"10650","Code Review","9819"
"10651","Demo","9819"
"10652","Remainig Development","9819"
"10653","Code Review","10449"
"10654","Demo","10449"
"10655","Remainig Development","10449"
"10656","Mejora para Actualizar Datos de Vehículos Cada vez que se Cargue el Excel","10528"
"10660","BE: Agregar filtro por Localidad","10578"
"10661","Code Review","10578"
"10662","Demo","10578"
"10663","Unificar initFilters, catálogos y crear hook","10578"
"10707","Evaluación de estrategias y costos","9511"
"10713","Preparar Test Plan","9884"
"10715","QA Demo","9884"
"10718","Crear relacion y unificar tablas de ParenClient","10708"
"10719","Auto popular ParentClient con bancos y dealers e incluir el type","10708"
"10720","Crear componente UI switch/toggle de 3 opciones","10708"
"10721","Actualizar asignacion manual y automatica","10708"
"10724","Modificar el uso actual de Dealer y Institucion Financiera en lugares existentes","10708"
"10725","Modificar formulario de asignacion para incluir filtro de tipo de cliente y creacion de catalogo","10708"
"10726","Modificar busqueda de grilla para incluir tipo de cliente","10708"
"10737","QA - Preparar Test Plan","9819"
"10739","QA - Demo","9819"
"10745","QA - Preparar Test Plan","10449"
"10757","Code Review","9803"
"10758","Demo","9803"
"10759","Remainig Development","9803"
"10772","QA - Preparar Test Plan","10768"
"10773","QA - Ejecutar Test Plan","10768"
"10774","QA - Demo","10768"
"10793","QA - Preparar Test Plan","9877"
"10794","QA - Ejecutar Test Plan","9877"
"10795","QA - Demo","9877"
"10796","Actualizar ""store"" del frontend para el cambio de idioma","10710"
"10797","Demo","10710"
"10798","Agregar Migration para columna NameEn en catálogos","10710"
"10813","QA - Ejecutar Pruebas","9893"
"10814","QA - Demo","9893"
"10815","QA - Preparar Test Plan","9511"
"10816","QA - Ejecutar Test Plan","9511"
"10817","QA - Demo","9511"
"10818","QA - Preparar Test Plan","9872"
"10819","QA - Ejecutar Test Plan","9872"
"10820","QA - Demo","9872"
"10831","QA - Demo","10449"
"10832","QA - Preparar Test Plan","9803"
"10833","QA - Demo","9803"
"10834","QA - Ejecutar Test Plan","9819"
"10835","QA - Ejecutar Test Plan","10449"
"10836","QA - Ejecutar Test Plan","9884"
"10837","QA - Ejecutar Test Plan","9803"
"10838","Demo","9872"
"10841","Remainig Development","10789"
"10842","Code Review","10789"
"10843","Demo","10789"
"10846","Configurar botones del dropdown de Localidades","10709"
"10847","Demo","10709"
"10848","Modificar endpoint para aplicar filtros para Dealer e Institución Financiera","10709"
"10849","Integracion en Worker","10799"
"10850","Integracion en API","10799"
"10851","Manejo de settings","10799"
"10858","QA - Preparar Test Plan","10708"
"10859","QA - Ejecutar Test Plan","10708"
"10860","QA - Demo","10708"
"10873","QA Apoyo","9511"
"10874","QA Apoyo","9872"
"10892","Agregar check estatus envio","10750"
"10894","Disponibilizar como servicio reutilizable","10460"
"10895","Demo","10800"
"10896","Modificacion en endpoints y visualizacion en grid, vista y edicion de vehiculo","10800"
"10897","Disponibilizar operacion de asignacion en edicion","10801"
"10899","Demo","10801"
"10900","Soporte QA","10801"
"10904","QA - Preparar Test Plan","9873"
"10905","QA - Ejecutar Test Plan","9873"
"10906","QA - Demo","9873"
"10907","QA - Preparar Test Plan","9856"
"10908","QA - Ejecutar Test Plan","9856"
"10909","QA - Demo","9856"
"10910","QA - Preparar Test Plan","10305"
"10911","QA - Ejecutar Test Plan","10305"
"10912","QA - Demo","10305"
"10913","QA - Preparar Test Plan","9838"
"10914","QA - Ejecutar Test Plan","9838"
"10915","QA - Demo","9838"
"10916","QA - Preparar Test Plan","10578"
"10917","QA - Ejecutar Test Plan","10578"
"10918","QA - Demo","10578"
"10919","QA - Preparar Test Plan","10464"
"10920","QA - Ejecutar Test Plan","10464"
"10921","QA - Demo","10464"
"10922","QA - Apoyo","10464"
"10923","QA - Preparar Test Plan","10610"
"10924","QA - Ejecutar Test Plan","10610"
"10925","QA - Demo","10610"
"10926","QA - Preparar Test Plan","10528"
"10927","QA - Ejecutar Test Plan","10528"
"10928","QA - Demo","10528"
"10942","QA - Preparar Test Plan","10801"
"10943","QA - Ejecutar Test Plan","10801"
"10944","QA - Demo","10801"
"10960","Reducir margen y padding entre tabs y tarjetas de información","10887"
"10961","Demo","10887"
"10962","Crear secciones de información por categoría en tarjetas separadas","10887"
"10963","Code Review","10886"
"10964","Demo","10886"
"10965","Crear tabla de catálogo para los tipos de propulsión","10886"
"10977","QA - Preparar Test Plan","10886"
"10978","QA - Ejecutar Test Plan","10886"
"10979","QA - Demo","10886"
"10980","Crear esquema de asignacion de permisos por rol","10967"
"10981","Definir logica, estrategia e implementacion de validacion de permisos en API","10967"
"10982","Definir logica, estrategia e implementacion de validacion de permisos en UI","10967"
"10983","Demo","10967"
"10984","Move blob settings to db and refact code to get settings from db","10966"
"10985","Move queue settings to db and refact code to get settings from db","10966"
"10986","Crear mecanismo para detectar y mostar cambios sin guardar","10972"
"10987","Crear mecanismo de deteccion de cambios sin guardar y solicitar confimracion antes de abandonar la pagina","10971"
"10988","Demo","10971"
"10989","QA-Ejecutar Pruebas","10887"
"10990","QA Ejecutar pruebas","10710"
"10994","QA - Preparar Test Plan","10789"
"10995","QA - Ejecutar Test Plan","10789"
"10996","QA - Demo","10789"
"11018","Modificar endpoint y pantallas para exponer PropulsionTypeName","10886"
"11019","Agregar color en iconos, y reordenar filas y columnas de información dentro de cada tarjeta","10887"
